First_Name,Second_Name,Party,Vote,Num_Meeting,Num_Vote
Radek,Vondráèek,ANO,Z,0,0
Ivo,Vondrák,ANO,A,0,0
Petr,Vrána,ANO,A,0,0
Rostislav,Vyzula,ANO,A,0,0
Radek,Zlesák,ANO,A,0,0
Ivan,Adamec,ODS,A,0,0
Jan,Bauer,ODS,A,0,0
Martin,Baxa,ODS,A,0,0
Petr,Beitl,ODS,A,0,0
Marek,Benda,ODS,A,0,0
Stanislav,Blaha,ODS,A,0,0
Pavel,Blaek,ODS,A,0,0
Jana,Èernochová,ODS,A,0,0
Petr,Fiala,ODS,A,0,0
Jakub,Janda,ODS,0,0,0
Václav,Klaus,ODS,A,0,0
Karel,Krejza,ODS,A,0,0
Martin,Kupka,ODS,A,0,0
Zuzana,Majerová,ODS,A,0,0
Jaroslav,Martinù,ODS,A,0,0
Ilona,Mauritzová,ODS,A,0,0
Vojtìch,Munzar,ODS,A,0,0
Miroslava,Nìmcová,ODS,A,0,0
Jan,Skopeèek,ODS,A,0,0
Zbynìk,Stanjura,ODS,A,0,0
Bohuslav,Svoboda,ODS,A,0,0
Jiøí,Ventruba,ODS,A,0,0
Veronika,Vrecionová,ODS,A,0,0
Jan,Zahradník,ODS,A,0,0
Pavel,áèek,ODS,A,0,0
Dana,Balcarová,Piráti,A,0,0
Lukáš,Bartoò,Piráti,A,0,0
Ivan,Bartoš,Piráti,A,0,0
Lukáš,Èernohorskı,Piráti,A,0,0
František,Elfmark,Piráti,A,0,0
Mikuláš,Ferjenèík,Piráti,A,0,0
Radek,Holomèík,Piráti,A,0,0
Martin,Jiránek,Piráti,A,0,0
Lukáš,Koláøík,Piráti,A,0,0
František,Kopøiva,Piráti,A,0,0
Lenka,Kozlová,Piráti,A,0,0
Jan,Lipavskı,Piráti,A,0,0
Tomáš,Martínek,Piráti,A,0,0
Jakub,Michálek,Piráti,A,0,0
Mikuláš,Peksa,Piráti,A,0,0
Vojtìch,Pikal,Piráti,A,0,0
Ondøej,Polanskı,Piráti,A,0,0
Jan,Pošváø,Piráti,A,0,0
Ondøej,Profant,Piráti,A,0,0
Olga,Richterová,Piráti,A,0,0
Petr,Tøešòák,Piráti,A,0,0
Tomáš,Vymazal,Piráti,A,0,0
Marian,Bojko,SPD,A,0,0
Jaroslav,Dvoøák,SPD,A,0,0
Radim,Fiala,SPD,A,0,0
Jaroslav,Holík,SPD,A,0,0
Jan,Hrnèíø,SPD,A,0,0
Tereza,Hyhová,SPD,A,0,0
Monika,Jarošová,SPD,A,0,0
Pavel,Jelínek,SPD,A,0,0
Jiøí,Kobza,SPD,A,0,0
Jiøí,Kohoutek,SPD,A,0,0
Radek,Koten,SPD,A,0,0
Jana,Levová,SPD,A,0,0
Karla,Maøíková,SPD,A,0,0
Ivana,Nevludová,SPD,A,0,0
Tomio,Okamura,SPD,A,0,0
Zdenìk,Podal,SPD,A,0,0
Miloslav,Rozner,SPD,A,0,0
Radek,Rozvoral,SPD,A,0,0
Lucie,Šafránková,SPD,A,0,0
Lubomír,Španìl,SPD,A,0,0
Radovan,Vích,SPD,A,0,0
Lubomír,Volnı,SPD,A,0,0
Jiøí,Bìhounek,ÈSSD,A,0,0
Jan,Birke,ÈSSD,A,0,0
Petr,Dolínek,ÈSSD,A,0,0
Jaroslav,Foldyna,ÈSSD,Z,0,0
Alena,Gajdùšková,ÈSSD,A,0,0
Jan,Hamáèek,ÈSSD,A,0,0
Tomáš,Hanzel,ÈSSD,A,0,0
Milan,Chovanec,ÈSSD,Z,0,0
Jan,Chvojka,ÈSSD,A,0,0
Roman,Onderka,ÈSSD,A,0,0
Bohuslav,Sobotka,ÈSSD,A,0,0
Antonín,Stanìk,ÈSSD,A,0,0
Kateøina,Valachová,ÈSSD,A,0,0
Ondøej,Veselı,ÈSSD,A,0,0
Lubomír,Zaorálek,ÈSSD,A,0,0
Hana,Aulická,KSÈM,A,0,0
Alexander,Èernı,KSÈM,A,0,0
Jiøí,Dolejš,KSÈM,M,0,0
Vojtìch,Filip,KSÈM,A,0,0
Miroslav,Grebeníèek,KSÈM,A,0,0
Stanislav,Grospiè,KSÈM,A,0,0
Vladimír,Koníèek,KSÈM,A,0,0
Pavel,Kováèik,KSÈM,A,0,0
Leo,Luzar,KSÈM,A,0,0
Kvìta,Matušovská,KSÈM,A,0,0
Zdenìk,Ondráèek,KSÈM,A,0,0
Daniel,Pawlas,KSÈM,A,0,0
Ivo,Pojeznı,KSÈM,A,0,0
Jiøí,Valenta,KSÈM,A,0,0
Miloslava,Vostrá,KSÈM,A,0,0
Jan,Bartošek,KDU-ÈSL,A,0,0
Pavel,Bìlobrádek,KDU-ÈSL,Z,0,0
Ondøej,Benešík,KDU-ÈSL,A,0,0
Jan,Èiinskı,KDU-ÈSL,A,0,0
Pavla,Golasowská,KDU-ÈSL,A,0,0
Stanislav,Juránek,KDU-ÈSL,A,0,0
Marian,Jureèka,KDU-ÈSL,A,0,0
Vít,Kaòkovskı,KDU-ÈSL,A,0,0
Jiøí,Mihola,KDU-ÈSL,A,0,0
Marek,Vıbornı,KDU-ÈSL,A,0,0
Dominik,Feri,TOP09,A,0,0
Miroslav,Kalousek,TOP09,A,0,0
Helena,Langšádlová,TOP09,A,0,0
Markéta,Pekarová,TOP09,A,0,0
Karel,Schwarzenberg,TOP09,A,0,0
František,Vácha,TOP09,A,0,0
Vlastimil,Válek,TOP09,A,0,0
Jan,Farskı,STAN,A,0,0
Petr,Gazdík,STAN,A,0,0
Vìra,Kováøová,STAN,A,0,0
Jana,Krutáková,STAN,A,0,0
Martin,Pùta,STAN,A,0,0
Vít,Rakušan,STAN,A,0,0
Vìra,Adámková,ANO,A,0,1
Andrej,Babiš,ANO,A,0,1
Andrea,Babišová,ANO,A,0,1
Margita,Balaštíková,ANO,A,0,1
Josef,Bìlica,ANO,A,0,1
Stanislav,Berkovec,ANO,A,0,1
Jiøí,Bláha,ANO,A,0,1
Richard,Brabec,ANO,A,0,1
Milan,Brázdil,ANO,Z,0,1
Andrea,Brzobohatá,ANO,A,0,1
Jaroslav,Boch,ANO,A,0,1
Klára,Dostálová,ANO,A,0,1
Lenka,Drailová,ANO,A,0,1
Jaroslav,Faltınek,ANO,A,0,1
Kamal,Farhan,ANO,A,0,1
Milan,Feranec,ANO,A,0,1
Eva,Fialová,ANO,A,0,1
Stanislav,Fridrich,ANO,A,0,1
Josef,Hájek,ANO,A,0,1
Jiøí,Hlavatı,ANO,A,0,1
Milan,Hnilièka,ANO,A,0,1
Ivan,Jáè,ANO,0,0,1
Miloslav,Janulík,ANO,A,0,1
Aleš,Juchelka,ANO,A,0,1
Pavel,Juøíèek,ANO,A,0,1
Adam,Kalous,ANO,A,0,1
David,Kasal,ANO,A,0,1
Tomáš,Kohoutek,ANO,A,0,1
Martin,Kolovratník,ANO,A,0,1
Barbora,Koøanová,ANO,A,0,1
Josef,Kott,ANO,A,0,1
Robert,Králíèek,ANO,A,0,1
Roman,Kubíèek,ANO,A,0,1
Jan,Kubík,ANO,A,0,1
Jaroslav,Kytır,ANO,A,0,1
Taána,Malá,ANO,A,0,1
Pøemysl,Mališ,ANO,A,0,1
Jiøí,Mašek,ANO,A,0,1
Radka,Maxová,ANO,A,0,1
Marcela,Melková,ANO,A,0,1
Jana,Mraèková,ANO,A,0,1
Patrik,Nacher,ANO,A,0,1
Marek,Novák,ANO,A,0,1
Monika,Oborná,ANO,A,0,1
Ladislav,Okleštìk,ANO,A,0,1
Zuzana,Oanová,ANO,A,0,1
Jana,Pastuchová,ANO,A,0,1
Robert,Pelikán,ANO,A,0,1
František,Petrtıl,ANO,A,0,1
Pavel,Plzák,ANO,A,0,1
Jaroslava,Pokorná,ANO,A,0,1
David,Praák,ANO,A,0,1
Vìra,Procházková,ANO,A,0,1
Pavel,Pustìjovskı,ANO,A,0,1
Karel,Rais,ANO,A,0,1
Michal,Ratiborskı,ANO,A,0,1
Jan,Richter,ANO,A,0,1
Miloslava,Rutová,ANO,A,0,1
Pavel,Rùièka,ANO,A,0,1
Jan,Øehounek,ANO,A,0,1
Petr,Sadovskı,ANO,A,0,1
Jan,Schiller,ANO,A,0,1
Pavel,Stanìk,ANO,A,0,1
Martin,Stropnickı,ANO,A,0,1
Jiøí,Strıèek,ANO,A,0,1
Karla,Šlechtová,ANO,A,0,1
Julius,Špièák,ANO,A,0,1
David,Štolpa,ANO,A,0,1
Dan,ok,ANO,A,0,1
Karel,Tureèek,ANO,A,0,1
Helena,Válková,ANO,A,0,1
Adam,Vojtìch,ANO,A,0,1
Jan,Volnı,ANO,A,0,1
Radek,Vondráèek,ANO,Z,0,1
Ivo,Vondrák,ANO,A,0,1
Petr,Vrána,ANO,A,0,1
Rostislav,Vyzula,ANO,A,0,1
Radek,Zlesák,ANO,A,0,1
Ivan,Adamec,ODS,A,0,1
Jan,Bauer,ODS,A,0,1
Martin,Baxa,ODS,A,0,1
Petr,Beitl,ODS,A,0,1
Marek,Benda,ODS,A,0,1
Stanislav,Blaha,ODS,A,0,1
Pavel,Blaek,ODS,A,0,1
Jana,Èernochová,ODS,A,0,1
Petr,Fiala,ODS,A,0,1
Jakub,Janda,ODS,A,0,1
Václav,Klaus,ODS,A,0,1
Karel,Krejza,ODS,A,0,1
Martin,Kupka,ODS,A,0,1
Zuzana,Majerová,ODS,A,0,1
Jaroslav,Martinù,ODS,A,0,1
Ilona,Mauritzová,ODS,A,0,1
Vojtìch,Munzar,ODS,A,0,1
Miroslava,Nìmcová,ODS,A,0,1
Jan,Skopeèek,ODS,A,0,1
Zbynìk,Stanjura,ODS,A,0,1
Bohuslav,Svoboda,ODS,A,0,1
Jiøí,Ventruba,ODS,A,0,1
Veronika,Vrecionová,ODS,A,0,1
Jan,Zahradník,ODS,A,0,1
Pavel,áèek,ODS,A,0,1
Dana,Balcarová,Piráti,A,0,1
Lukáš,Bartoò,Piráti,A,0,1
Ivan,Bartoš,Piráti,A,0,1
Lukáš,Èernohorskı,Piráti,A,0,1
František,Elfmark,Piráti,A,0,1
Mikuláš,Ferjenèík,Piráti,A,0,1
Radek,Holomèík,Piráti,A,0,1
Martin,Jiránek,Piráti,A,0,1
Lukáš,Koláøík,Piráti,A,0,1
František,Kopøiva,Piráti,A,0,1
Lenka,Kozlová,Piráti,A,0,1
Jan,Lipavskı,Piráti,A,0,1
Tomáš,Martínek,Piráti,A,0,1
Jakub,Michálek,Piráti,A,0,1
Mikuláš,Peksa,Piráti,A,0,1
Vojtìch,Pikal,Piráti,A,0,1
Ondøej,Polanskı,Piráti,A,0,1
Jan,Pošváø,Piráti,A,0,1
Ondøej,Profant,Piráti,A,0,1
Olga,Richterová,Piráti,A,0,1
Petr,Tøešòák,Piráti,A,0,1
Tomáš,Vymazal,Piráti,A,0,1
Marian,Bojko,SPD,A,0,1
Jaroslav,Dvoøák,SPD,A,0,1
Radim,Fiala,SPD,A,0,1
Jaroslav,Holík,SPD,A,0,1
Jan,Hrnèíø,SPD,A,0,1
Tereza,Hyhová,SPD,A,0,1
Monika,Jarošová,SPD,A,0,1
Pavel,Jelínek,SPD,A,0,1
Jiøí,Kobza,SPD,A,0,1
Jiøí,Kohoutek,SPD,A,0,1
Radek,Koten,SPD,A,0,1
Jana,Levová,SPD,A,0,1
Karla,Maøíková,SPD,A,0,1
Ivana,Nevludová,SPD,A,0,1
Tomio,Okamura,SPD,A,0,1
Zdenìk,Podal,SPD,A,0,1
Miloslav,Rozner,SPD,A,0,1
Radek,Rozvoral,SPD,A,0,1
Lucie,Šafránková,SPD,A,0,1
Lubomír,Španìl,SPD,A,0,1
Radovan,Vích,SPD,A,0,1
Lubomír,Volnı,SPD,A,0,1
Jiøí,Bìhounek,ÈSSD,A,0,1
Jan,Birke,ÈSSD,A,0,1
Petr,Dolínek,ÈSSD,A,0,1
Jaroslav,Foldyna,ÈSSD,Z,0,1
Alena,Gajdùšková,ÈSSD,A,0,1
Jan,Hamáèek,ÈSSD,A,0,1
Tomáš,Hanzel,ÈSSD,A,0,1
Milan,Chovanec,ÈSSD,A,0,1
Jan,Chvojka,ÈSSD,A,0,1
Roman,Onderka,ÈSSD,A,0,1
Bohuslav,Sobotka,ÈSSD,A,0,1
Antonín,Stanìk,ÈSSD,A,0,1
Kateøina,Valachová,ÈSSD,A,0,1
Ondøej,Veselı,ÈSSD,A,0,1
Lubomír,Zaorálek,ÈSSD,A,0,1
Hana,Aulická,KSÈM,A,0,1
Alexander,Èernı,KSÈM,A,0,1
Jiøí,Dolejš,KSÈM,M,0,1
Vojtìch,Filip,KSÈM,A,0,1
Miroslav,Grebeníèek,KSÈM,A,0,1
Stanislav,Grospiè,KSÈM,A,0,1
Vladimír,Koníèek,KSÈM,A,0,1
Pavel,Kováèik,KSÈM,A,0,1
Leo,Luzar,KSÈM,A,0,1
Kvìta,Matušovská,KSÈM,A,0,1
Zdenìk,Ondráèek,KSÈM,A,0,1
Daniel,Pawlas,KSÈM,A,0,1
Ivo,Pojeznı,KSÈM,A,0,1
Jiøí,Valenta,KSÈM,A,0,1
Miloslava,Vostrá,KSÈM,A,0,1
Jan,Bartošek,KDU-ÈSL,A,0,1
Pavel,Bìlobrádek,KDU-ÈSL,Z,0,1
Ondøej,Benešík,KDU-ÈSL,A,0,1
Jan,Èiinskı,KDU-ÈSL,A,0,1
Pavla,Golasowská,KDU-ÈSL,A,0,1
Stanislav,Juránek,KDU-ÈSL,A,0,1
Marian,Jureèka,KDU-ÈSL,A,0,1
Vít,Kaòkovskı,KDU-ÈSL,A,0,1
Jiøí,Mihola,KDU-ÈSL,A,0,1
Marek,Vıbornı,KDU-ÈSL,A,0,1
Dominik,Feri,TOP09,A,0,1
Miroslav,Kalousek,TOP09,A,0,1
Helena,Langšádlová,TOP09,A,0,1
Markéta,Pekarová,TOP09,A,0,1
Karel,Schwarzenberg,TOP09,A,0,1
František,Vácha,TOP09,A,0,1
Vlastimil,Válek,TOP09,A,0,1
Jan,Farskı,STAN,A,0,1
Petr,Gazdík,STAN,A,0,1
Vìra,Kováøová,STAN,A,0,1
Jana,Krutáková,STAN,A,0,1
Martin,Pùta,STAN,A,0,1
Vít,Rakušan,STAN,A,0,1
Vìra,Adámková,ANO,N,0,2
Andrej,Babiš,ANO,N,0,2
Andrea,Babišová,ANO,N,0,2
Margita,Balaštíková,ANO,N,0,2
Josef,Bìlica,ANO,N,0,2
Stanislav,Berkovec,ANO,N,0,2
Jiøí,Bláha,ANO,N,0,2
Richard,Brabec,ANO,N,0,2
Milan,Brázdil,ANO,Z,0,2
Andrea,Brzobohatá,ANO,0,0,2
Jaroslav,Boch,ANO,N,0,2
Klára,Dostálová,ANO,N,0,2
Lenka,Drailová,ANO,N,0,2
Jaroslav,Faltınek,ANO,N,0,2
Kamal,Farhan,ANO,N,0,2
Milan,Feranec,ANO,N,0,2
Eva,Fialová,ANO,N,0,2
Stanislav,Fridrich,ANO,N,0,2
Josef,Hájek,ANO,N,0,2
Jiøí,Hlavatı,ANO,N,0,2
Milan,Hnilièka,ANO,N,0,2
Ivan,Jáè,ANO,N,0,2
Miloslav,Janulík,ANO,N,0,2
Aleš,Juchelka,ANO,N,0,2
Pavel,Juøíèek,ANO,N,0,2
Adam,Kalous,ANO,N,0,2
David,Kasal,ANO,N,0,2
Tomáš,Kohoutek,ANO,N,0,2
Martin,Kolovratník,ANO,N,0,2
Barbora,Koøanová,ANO,N,0,2
Josef,Kott,ANO,N,0,2
Robert,Králíèek,ANO,N,0,2
Roman,Kubíèek,ANO,N,0,2
Jan,Kubík,ANO,N,0,2
Jaroslav,Kytır,ANO,N,0,2
Taána,Malá,ANO,N,0,2
Pøemysl,Mališ,ANO,N,0,2
Jiøí,Mašek,ANO,N,0,2
Radka,Maxová,ANO,N,0,2
Marcela,Melková,ANO,N,0,2
Jana,Mraèková,ANO,N,0,2
Patrik,Nacher,ANO,N,0,2
Marek,Novák,ANO,N,0,2
Monika,Oborná,ANO,N,0,2
Ladislav,Okleštìk,ANO,N,0,2
Zuzana,Oanová,ANO,N,0,2
Jana,Pastuchová,ANO,N,0,2
Robert,Pelikán,ANO,N,0,2
František,Petrtıl,ANO,N,0,2
Pavel,Plzák,ANO,N,0,2
Jaroslava,Pokorná,ANO,N,0,2
David,Praák,ANO,N,0,2
Vìra,Procházková,ANO,N,0,2
Pavel,Pustìjovskı,ANO,N,0,2
Karel,Rais,ANO,N,0,2
Michal,Ratiborskı,ANO,N,0,2
Jan,Richter,ANO,N,0,2
Miloslava,Rutová,ANO,N,0,2
Pavel,Rùièka,ANO,N,0,2
Jan,Øehounek,ANO,N,0,2
Petr,Sadovskı,ANO,N,0,2
Jan,Schiller,ANO,N,0,2
Pavel,Stanìk,ANO,N,0,2
Martin,Stropnickı,ANO,N,0,2
Jiøí,Strıèek,ANO,N,0,2
Karla,Šlechtová,ANO,N,0,2
Julius,Špièák,ANO,N,0,2
David,Štolpa,ANO,N,0,2
Dan,ok,ANO,N,0,2
Karel,Tureèek,ANO,N,0,2
Helena,Válková,ANO,N,0,2
Adam,Vojtìch,ANO,N,0,2
Jan,Volnı,ANO,N,0,2
Radek,Vondráèek,ANO,N,0,2
Ivo,Vondrák,ANO,N,0,2
Petr,Vrána,ANO,N,0,2
Rostislav,Vyzula,ANO,N,0,2
Radek,Zlesák,ANO,N,0,2
Ivan,Adamec,ODS,A,0,2
Jan,Bauer,ODS,A,0,2
Martin,Baxa,ODS,A,0,2
Petr,Beitl,ODS,A,0,2
Marek,Benda,ODS,A,0,2
Stanislav,Blaha,ODS,N,0,2
Pavel,Blaek,ODS,A,0,2
Jana,Èernochová,ODS,A,0,2
Petr,Fiala,ODS,A,0,2
Jakub,Janda,ODS,A,0,2
Václav,Klaus,ODS,Z,0,2
Karel,Krejza,ODS,A,0,2
Martin,Kupka,ODS,A,0,2
Zuzana,Majerová,ODS,Z,0,2
Jaroslav,Martinù,ODS,A,0,2
Ilona,Mauritzová,ODS,A,0,2
Vojtìch,Munzar,ODS,A,0,2
Miroslava,Nìmcová,ODS,A,0,2
Jan,Skopeèek,ODS,Z,0,2
Zbynìk,Stanjura,ODS,A,0,2
Bohuslav,Svoboda,ODS,A,0,2
Jiøí,Ventruba,ODS,A,0,2
Veronika,Vrecionová,ODS,A,0,2
Jan,Zahradník,ODS,A,0,2
Pavel,áèek,ODS,A,0,2
Dana,Balcarová,Piráti,N,0,2
Lukáš,Bartoò,Piráti,N,0,2
Ivan,Bartoš,Piráti,N,0,2
Lukáš,Èernohorskı,Piráti,N,0,2
František,Elfmark,Piráti,N,0,2
Mikuláš,Ferjenèík,Piráti,N,0,2
Radek,Holomèík,Piráti,N,0,2
Martin,Jiránek,Piráti,N,0,2
Lukáš,Koláøík,Piráti,N,0,2
František,Kopøiva,Piráti,N,0,2
Lenka,Kozlová,Piráti,N,0,2
Jan,Lipavskı,Piráti,N,0,2
Tomáš,Martínek,Piráti,N,0,2
Jakub,Michálek,Piráti,N,0,2
Mikuláš,Peksa,Piráti,N,0,2
Vojtìch,Pikal,Piráti,N,0,2
Ondøej,Polanskı,Piráti,N,0,2
Jan,Pošváø,Piráti,N,0,2
Ondøej,Profant,Piráti,N,0,2
Olga,Richterová,Piráti,N,0,2
Petr,Tøešòák,Piráti,N,0,2
Tomáš,Vymazal,Piráti,N,0,2
Marian,Bojko,SPD,N,0,2
Jaroslav,Dvoøák,SPD,N,0,2
Radim,Fiala,SPD,N,0,2
Jaroslav,Holík,SPD,N,0,2
Jan,Hrnèíø,SPD,N,0,2
Tereza,Hyhová,SPD,N,0,2
Monika,Jarošová,SPD,Z,0,2
Pavel,Jelínek,SPD,N,0,2
Jiøí,Kobza,SPD,N,0,2
Jiøí,Kohoutek,SPD,N,0,2
Radek,Koten,SPD,N,0,2
Jana,Levová,SPD,N,0,2
Karla,Maøíková,SPD,N,0,2
Ivana,Nevludová,SPD,N,0,2
Tomio,Okamura,SPD,N,0,2
Zdenìk,Podal,SPD,N,0,2
Miloslav,Rozner,SPD,N,0,2
Radek,Rozvoral,SPD,N,0,2
Lucie,Šafránková,SPD,A,0,2
Lubomír,Španìl,SPD,N,0,2
Radovan,Vích,SPD,N,0,2
Lubomír,Volnı,SPD,N,0,2
Jiøí,Bìhounek,ÈSSD,Z,0,2
Jan,Birke,ÈSSD,A,0,2
Petr,Dolínek,ÈSSD,A,0,2
Jaroslav,Foldyna,ÈSSD,N,0,2
Alena,Gajdùšková,ÈSSD,A,0,2
Jan,Hamáèek,ÈSSD,Z,0,2
Tomáš,Hanzel,ÈSSD,A,0,2
Milan,Chovanec,ÈSSD,A,0,2
Jan,Chvojka,ÈSSD,N,0,2
Roman,Onderka,ÈSSD,A,0,2
Bohuslav,Sobotka,ÈSSD,A,0,2
Antonín,Stanìk,ÈSSD,N,0,2
Kateøina,Valachová,ÈSSD,N,0,2
Ondøej,Veselı,ÈSSD,N,0,2
Lubomír,Zaorálek,ÈSSD,A,0,2
Hana,Aulická,KSÈM,Z,0,2
Alexander,Èernı,KSÈM,Z,0,2
Jiøí,Dolejš,KSÈM,M,0,2
Vojtìch,Filip,KSÈM,N,0,2
Miroslav,Grebeníèek,KSÈM,Z,0,2
Stanislav,Grospiè,KSÈM,Z,0,2
Vladimír,Koníèek,KSÈM,Z,0,2
Pavel,Kováèik,KSÈM,Z,0,2
Leo,Luzar,KSÈM,Z,0,2
Kvìta,Matušovská,KSÈM,Z,0,2
Zdenìk,Ondráèek,KSÈM,Z,0,2
Daniel,Pawlas,KSÈM,Z,0,2
Ivo,Pojeznı,KSÈM,N,0,2
Jiøí,Valenta,KSÈM,N,0,2
Miloslava,Vostrá,KSÈM,N,0,2
Jan,Bartošek,KDU-ÈSL,A,0,2
Pavel,Bìlobrádek,KDU-ÈSL,A,0,2
Ondøej,Benešík,KDU-ÈSL,A,0,2
Jan,Èiinskı,KDU-ÈSL,A,0,2
Pavla,Golasowská,KDU-ÈSL,A,0,2
Stanislav,Juránek,KDU-ÈSL,A,0,2
Marian,Jureèka,KDU-ÈSL,A,0,2
Vít,Kaòkovskı,KDU-ÈSL,A,0,2
Jiøí,Mihola,KDU-ÈSL,A,0,2
Marek,Vıbornı,KDU-ÈSL,A,0,2
Dominik,Feri,TOP09,A,0,2
Miroslav,Kalousek,TOP09,Z,0,2
Helena,Langšádlová,TOP09,A,0,2
Markéta,Pekarová,TOP09,A,0,2
Karel,Schwarzenberg,TOP09,N,0,2
František,Vácha,TOP09,A,0,2
Vlastimil,Válek,TOP09,A,0,2
Jan,Farskı,STAN,A,0,2
Petr,Gazdík,STAN,A,0,2
Vìra,Kováøová,STAN,A,0,2
Jana,Krutáková,STAN,Z,0,2
Martin,Pùta,STAN,A,0,2
Vít,Rakušan,STAN,A,0,2
Vìra,Adámková,ANO,N,0,3
Andrej,Babiš,ANO,N,0,3
Andrea,Babišová,ANO,N,0,3
Margita,Balaštíková,ANO,N,0,3
Josef,Bìlica,ANO,N,0,3
Stanislav,Berkovec,ANO,N,0,3
Jiøí,Bláha,ANO,N,0,3
Richard,Brabec,ANO,N,0,3
Milan,Brázdil,ANO,Z,0,3
Andrea,Brzobohatá,ANO,N,0,3
Jaroslav,Boch,ANO,N,0,3
Klára,Dostálová,ANO,N,0,3
Lenka,Drailová,ANO,N,0,3
Jaroslav,Faltınek,ANO,N,0,3
Kamal,Farhan,ANO,N,0,3
Milan,Feranec,ANO,N,0,3
Eva,Fialová,ANO,N,0,3
Stanislav,Fridrich,ANO,N,0,3
Josef,Hájek,ANO,N,0,3
Jiøí,Hlavatı,ANO,N,0,3
Milan,Hnilièka,ANO,N,0,3
Ivan,Jáè,ANO,N,0,3
Miloslav,Janulík,ANO,N,0,3
Aleš,Juchelka,ANO,N,0,3
Pavel,Juøíèek,ANO,N,0,3
Adam,Kalous,ANO,N,0,3
David,Kasal,ANO,N,0,3
Tomáš,Kohoutek,ANO,N,0,3
Martin,Kolovratník,ANO,N,0,3
Barbora,Koøanová,ANO,N,0,3
Josef,Kott,ANO,N,0,3
Robert,Králíèek,ANO,N,0,3
Roman,Kubíèek,ANO,N,0,3
Jan,Kubík,ANO,N,0,3
Jaroslav,Kytır,ANO,N,0,3
Taána,Malá,ANO,N,0,3
Pøemysl,Mališ,ANO,N,0,3
Jiøí,Mašek,ANO,N,0,3
Radka,Maxová,ANO,N,0,3
Marcela,Melková,ANO,N,0,3
Jana,Mraèková,ANO,N,0,3
Patrik,Nacher,ANO,N,0,3
Marek,Novák,ANO,N,0,3
Monika,Oborná,ANO,N,0,3
Ladislav,Okleštìk,ANO,N,0,3
Zuzana,Oanová,ANO,N,0,3
Jana,Pastuchová,ANO,N,0,3
Robert,Pelikán,ANO,N,0,3
František,Petrtıl,ANO,N,0,3
Pavel,Plzák,ANO,N,0,3
Jaroslava,Pokorná,ANO,N,0,3
